d,trial,per_add,num_add,user1_cohortId,user2_cohortId,match
500,611,0.5,250,1576,25485,0
500,612,0.01,5,25301,25301,1
500,612,0.02,10,25301,25301,1
500,612,0.05,25,25301,25301,1
500,612,0.1,50,25301,17795,0
500,612,0.2,100,25301,25046,0
500,612,0.3,150,25301,25046,0
500,612,0.5,250,25301,26007,0
500,613,0.01,5,16311,16311,1
500,613,0.02,10,16311,16311,1
500,613,0.05,25,16311,15922,0
500,613,0.1,50,16311,16256,0
500,613,0.2,100,16311,15922,0
500,613,0.3,150,16311,20379,0
500,613,0.5,250,16311,20378,0
500,614,0.01,5,14992,14992,1
500,614,0.02,10,14992,14992,1
500,614,0.05,25,14992,14992,1
500,614,0.1,50,14992,3520,0
500,614,0.2,100,14992,15921,0
500,614,0.3,150,14992,16765,0
500,614,0.5,250,14992,30451,0
500,615,0.01,5,11048,11048,1
500,615,0.02,10,11048,10999,0
500,615,0.05,25,11048,11026,0
500,615,0.1,50,11048,7616,0
500,615,0.2,100,11048,7551,0
500,615,0.3,150,11048,10999,0
500,615,0.5,250,11048,23918,0
500,616,0.01,5,4607,4607,1
500,616,0.02,10,4607,4607,1
500,616,0.05,25,4607,4607,1
500,616,0.1,50,4607,4607,1
500,616,0.2,100,4607,4669,0
500,616,0.3,150,4607,4669,0
500,616,0.5,250,4607,3422,0
500,617,0.01,5,33546,33546,1
500,617,0.02,10,33546,33546,1
500,617,0.05,25,33546,33546,1
500,617,0.1,50,33546,32989,0
500,617,0.2,100,33546,32916,0
500,617,0.3,150,33546,27692,0
500,617,0.5,250,33546,15871,0
500,618,0.01,5,21925,21925,1
500,618,0.02,10,21925,21925,1
500,618,0.05,25,21925,31857,0
500,618,0.1,50,21925,31857,0
500,618,0.2,100,21925,21917,0
500,618,0.3,150,21925,21925,1
500,618,0.5,250,21925,19308,0
500,619,0.01,5,12505,12505,1
500,619,0.02,10,12505,12505,1
500,619,0.05,25,12505,14499,0
500,619,0.1,50,12505,10113,0
500,619,0.2,100,12505,14490,0
500,619,0.3,150,12505,14499,0
500,619,0.5,250,12505,14077,0
500,620,0.01,5,15870,14924,0
